Date, Open, High, Low, Close
03/23/21, 3124.41, 3148.49, 3120.92, 3131.74
03/22/21, 3130.69, 3149.01, 3123.96, 3128.08
03/19/21, 3131.74, 3148.98, 3127.84, 3134.54
03/18/21, 3132.10, 3147.67, 3130.65, 3137.66
03/17/21, 3102.78, 3109.65, 3109.65, 3109.65
03/16/21, 3111.81, 3105.51, 3105.51, 3105.51
03/15/21, 3109.32, 3118.91, 3097.01, 3106.00
03/12/21, 3112.57, 3115.25, 3089.44, 3095.22
03/11/21, 3086.74, 3113.93, 3082.16, 3106.01
03/10/21, 3106.94, 3108.29, 3072.53, 3079.72
03/09/21, 3091.79, 3116.31, 3091.79, 3108.53
03/08/21, 3075.16, 3079.98, 3060.58, 3071.16
03/05/21, 3005.90, 3028.44, 2992.23, 3013.85
03/04/21, 2987.66, 3015.87, 2981.34, 3014.78
03/03/21, 2991.12, 3000.44, 2980.68, 3000.37
03/02/21, 2989.80, 3000.06, 2970.92, 2973.87
03/01/21, 2948.69, 2981.50, 2948.64, 2973.00
02/26/21, 2923.23, 2951.29, 2921.10, 2949.04
02/25/21, 2951.03, 2976.36, 2949.62, 2973.54
02/24/21, 2897.72, 2935.76, 2896.57, 2924.58
02/23/21, 2879.64, 2905.22, 2875.90, 2890.70
02/22/21, 2888.29, 2897.53, 2876.89, 2881.21
02/19/21, 2896.91, 2880.64, 2880.64, 2880.64
02/18/21, 2917.93, 2921.71, 2901.09, 2908.85
02/17/21, 2913.81, 2928.25, 2909.54, 2920.43
02/16/21, 2935.58, 2945.29, 2932.20, 2935.34
02/15/21, 2929.94, 2946.22, 2929.06, 2931.52
02/11/21, 2915.98, 2926.34, 2914.90, 2925.48
02/10/21, 2936.10, 2938.21, 2919.98, 2925.84
02/09/21, 2946.20, 2959.66, 2924.80, 2935.27
02/08/21, 2909.80, 2938.15, 2908.18, 2931.40
02/05/21, 2916.06, 2917.59, 2903.37, 2907.11
02/04/21, 2933.08, 2936.59, 2884.74, 2905.58
02/03/21, 2932.72, 2939.35, 2927.05, 2927.47
02/02/21, 2906.20, 2918.85, 2902.01, 2917.29
02/01/21, 2888.75, 2901.78, 2873.77, 2896.32
01/29/21, 2941.58, 2950.75, 2887.20, 2902.52
01/28/21, 2924.48, 2930.75, 2911.75, 2920.30
01/27/21, 2952.47, 2967.78, 2948.71, 2958.63
01/26/21, 2967.63, 2968.98, 2935.65, 2945.52
01/25/21, 2998.04, 3004.97, 2971.07, 2973.65
01/22/21, 3009.02, 3009.13, 2981.18, 2991.53
01/21/21, 3004.16, 3017.15, 2997.69, 3017.15
01/20/21, 2995.70, 3001.14, 2985.71, 2998.77
01/19/21, 2996.64, 3007.99, 2990.93, 2995.92
01/18/21, 2995.73, 2990.40, 2990.40, 2990.40
01/15/21, 2995.85, 3012.53, 2991.76, 3004.87
01/14/21, 2982.00, 3001.34, 2979.38, 3000.00
01/13/21, 2982.16, 2994.79, 2977.51, 2977.51
01/12/21, 2975.15, 2983.66, 2968.90, 2977.17
01/11/21, 2983.50, 2993.16, 2971.93, 2983.90
01/08/21, 2935.18, 2993.19, 2933.71, 2993.19
01/07/21, 2892.33, 2912.70, 2884.18, 2906.97
01/06/21, 2858.53, 2865.04, 2852.32, 2863.01
01/05/21, 2842.06, 2859.68, 2832.04, 2859.68
01/04/21, 2846.20, 2861.21, 2836.25, 2858.90
12/31/20, 2853.60, 2861.61, 2843.81, 2843.81
12/30/20, 2855.06, 2878.13, 2846.22, 2869.22
12/29/20, 2848.65, 2852.65, 2840.38, 2848.14
12/28/20, 2845.85, 2840.14, 2840.14, 2840.14
12/24/20, 2840.65, 2847.80, 2834.14, 2842.04
12/23/20, 2817.87, 2838.45, 2805.24, 2833.40
12/22/20, 2842.45, 2844.82, 2803.97, 2827.32
12/21/20, 2847.19, 2854.61, 2831.40, 2846.52
12/18/20, 2858.45, 2862.93, 2845.55, 2848.98
12/17/20, 2866.97, 2867.11, 2849.43, 2858.02
12/16/20, 2866.12, 2875.48, 2862.43, 2872.80
12/15/20, 2863.10, 2863.97, 2841.51, 2856.72
12/14/20, 2836.30, 2870.44, 2835.22, 2858.14
12/11/20, 2836.88, 2848.97, 2818.35, 2821.70
12/10/20, 2833.17, 2834.79, 2820.05, 2824.96
12/09/20, 2825.72, 2849.16, 2825.32, 2843.07
12/08/20, 2820.99, 2829.51, 2817.27, 2825.63
12/07/20, 2842.58, 2853.23, 2824.23, 2825.51
12/04/20, 2825.56, 2841.46, 2819.53, 2839.89
12/03/20, 2809.74, 2822.40, 2792.74, 2822.34
12/02/20, 2805.50, 2817.33, 2796.71, 2810.95
12/01/20, 2802.94, 2824.54, 2793.22, 2814.12
11/30/20, 2869.89, 2869.89, 2797.19, 2805.95
11/27/20, 2846.95, 2866.34, 2845.16, 2855.82
11/26/20, 2856.37, 2857.48, 2839.80, 2857.48
11/25/20, 2903.16, 2920.55, 2858.36, 2869.55
11/24/20, 2866.12, 2891.63, 2864.42, 2891.63
11/23/20, 2828.32, 2852.27, 2825.83, 2848.78
11/20/20, 2780.77, 2814.13, 2779.21, 2813.01
11/19/20, 2782.22, 2795.06, 2766.55, 2777.00
11/18/20, 2774.78, 2795.67, 2774.78, 2788.59
11/17/20, 2764.13, 2781.58, 2764.13, 2778.55
11/16/20, 2731.56, 2753.44, 2724.93, 2748.00
11/13/20, 2700.72, 2715.92, 2685.81, 2711.39
11/12/20, 2710.71, 2725.47, 2695.89, 2711.90
11/11/20, 2698.69, 2713.28, 2673.89, 2713.28
11/10/20, 2672.98, 2705.00, 2662.32, 2705.00
11/09/20, 2600.96, 2622.98, 2600.67, 2609.36
11/06/20, 2591.96, 2591.96, 2562.86, 2578.68
11/05/20, 2543.91, 2588.62, 2541.76, 2588.62
11/04/20, 2502.18, 2521.14, 2489.72, 2515.98
11/03/20, 2453.29, 2497.22, 2453.26, 2497.22
